DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2018-11-01,38.3,41.4,38.0,41.05,73.3,22.8,ADANIGREEN
2018-10-31,39.3,40.5,37.35,39.65,73.3,22.8,ADANIGREEN
2018-10-30,39.9,39.9,38.45,39.3,73.3,22.8,ADANIGREEN
2018-10-29,38.0,38.0,37.9,38.0,73.3,22.8,ADANIGREEN
2018-10-26,36.7,37.3,35.5,36.2,73.3,22.8,ADANIGREEN
2018-10-25,36.9,37.95,35.5,36.2,73.3,22.8,ADANIGREEN
2018-10-24,35.55,37.0,35.55,37.0,73.3,22.8,ADANIGREEN
2018-10-23,35.75,35.75,34.0,35.25,73.3,22.8,ADANIGREEN
2018-10-22,37.45,38.85,35.55,35.75,73.3,22.8,ADANIGREEN
2018-10-19,39.5,39.5,37.4,37.4,73.3,22.8,ADANIGREEN
2018-10-17,40.55,40.55,39.1,39.35,73.3,22.8,ADANIGREEN
2018-10-16,37.6,38.65,37.3,38.65,73.3,22.8,ADANIGREEN
2018-10-15,35.9,36.85,35.25,36.85,73.3,22.8,ADANIGREEN
2018-10-12,35.1,35.1,35.1,35.1,73.3,22.8,ADANIGREEN
2018-10-11,32.9,33.45,32.05,33.45,73.3,22.8,ADANIGREEN
2018-10-10,29.1,31.9,29.1,31.9,73.3,22.8,ADANIGREEN
2018-10-09,30.4,32.1,30.4,30.4,73.3,22.8,ADANIGREEN
2018-10-08,32.75,33.1,32.0,32.0,73.3,22.8,ADANIGREEN
2018-10-05,33.65,33.65,33.65,33.65,73.3,22.8,ADANIGREEN
2018-10-04,35.4,35.4,35.4,35.4,73.3,22.8,ADANIGREEN
2018-10-03,40.0,40.0,37.25,37.25,73.3,22.8,ADANIGREEN
2018-10-01,38.85,40.75,38.85,39.2,73.3,22.8,ADANIGREEN
2018-09-28,42.95,43.3,40.85,40.85,73.3,22.8,ADANIGREEN
2018-09-27,45.95,45.95,42.95,42.95,73.3,22.8,ADANIGREEN
2018-09-26,46.45,46.75,44.6,45.2,73.3,22.8,ADANIGREEN
2018-09-25,44.55,46.65,44.5,44.55,73.3,22.8,ADANIGREEN
2018-09-24,48.8,48.8,46.8,46.8,73.3,22.8,ADANIGREEN
2018-09-21,52.5,52.8,49.25,49.25,73.3,22.8,ADANIGREEN
2018-09-19,54.0,54.2,51.4,51.8,73.3,22.8,ADANIGREEN
2018-09-18,53.4,54.75,53.15,53.3,73.3,22.8,ADANIGREEN
2018-09-17,55.5,56.2,52.9,53.75,73.3,22.8,ADANIGREEN
2018-09-14,54.4,55.25,53.35,55.25,73.3,22.8,ADANIGREEN
2018-09-12,54.0,54.0,51.2,52.65,73.3,22.8,ADANIGREEN
2018-09-11,54.35,55.4,52.0,52.5,73.3,22.8,ADANIGREEN
2018-09-10,56.0,56.0,53.75,54.05,73.3,22.8,ADANIGREEN
2018-09-07,56.0,57.45,55.0,55.7,73.3,22.8,ADANIGREEN
2018-09-06,53.25,54.85,52.45,54.85,73.3,22.8,ADANIGREEN
2018-09-05,53.5,54.5,51.0,52.25,73.3,22.8,ADANIGREEN
2018-09-04,56.8,56.8,53.25,53.5,73.3,22.8,ADANIGREEN
2018-09-03,57.8,58.6,55.7,55.9,73.3,22.8,ADANIGREEN
2018-08-31,59.0,59.4,56.9,57.4,73.3,22.8,ADANIGREEN
2018-08-30,62.6,62.8,58.7,59.05,73.3,22.8,ADANIGREEN
2018-08-29,60.0,61.15,58.0,60.9,73.3,22.8,ADANIGREEN
2018-08-28,56.1,58.25,55.35,58.25,73.3,22.8,ADANIGREEN
2018-08-27,55.2,57.4,53.25,55.5,73.3,22.8,ADANIGREEN
2018-08-24,58.5,58.5,54.9,55.55,73.3,22.8,ADANIGREEN
2018-08-23,58.7,59.95,56.55,57.2,73.3,22.8,ADANIGREEN
2018-08-21,59.0,60.25,56.0,57.1,73.3,22.8,ADANIGREEN
2018-08-20,54.7,57.4,54.7,57.4,73.3,22.8,ADANIGREEN
2018-08-17,53.85,59.45,53.85,54.7,73.3,22.8,ADANIGREEN
2018-08-16,56.65,56.65,56.65,56.65,73.3,22.8,ADANIGREEN
2018-08-14,59.6,59.6,59.6,59.6,73.3,22.8,ADANIGREEN
2018-08-13,62.7,62.7,62.7,62.7,73.3,22.8,ADANIGREEN
2018-08-10,61.55,66.0,60.1,66.0,73.3,22.8,ADANIGREEN
2018-08-09,62.9,62.9,62.9,62.9,73.3,22.8,ADANIGREEN
2018-08-08,66.2,66.2,66.2,66.2,73.3,22.8,ADANIGREEN
2018-08-07,71.3,73.0,69.65,69.65,73.3,22.8,ADANIGREEN
2018-08-06,73.3,73.3,73.3,73.3,73.3,22.8,ADANIGREEN
2018-08-03,69.85,69.85,69.85,69.85,69.85,22.8,ADANIGREEN
2018-08-02,66.55,66.55,66.55,66.55,66.55,22.8,ADANIGREEN
2018-08-01,62.7,63.4,62.3,63.4,63.4,22.8,ADANIGREEN
2018-07-31,60.4,60.4,58.6,60.4,60.4,22.8,ADANIGREEN
2018-07-30,52.8,57.55,52.8,57.55,57.55,22.8,ADANIGREEN
2018-07-27,54.5,54.8,51.15,52.35,56.4,22.8,ADANIGREEN
2018-07-26,55.8,56.4,48.0,52.9,56.4,22.8,ADANIGREEN
2018-07-25,50.7,51.3,47.1,51.3,51.3,22.8,ADANIGREEN
2018-07-24,45.85,46.65,45.0,46.65,46.65,22.8,ADANIGREEN
2018-07-23,37.9,42.45,37.1,42.45,42.45,22.8,ADANIGREEN
2018-07-20,29.95,35.6,29.5,35.4,35.6,22.8,ADANIGREEN
2018-07-19,29.8,30.4,28.1,29.7,33.4,22.8,ADANIGREEN
2018-07-18,31.5,31.75,29.55,29.75,33.4,22.8,ADANIGREEN
2018-07-17,31.65,31.85,30.95,31.45,33.4,22.8,ADANIGREEN
2018-07-16,32.4,32.4,30.85,31.1,33.4,22.8,ADANIGREEN
2018-07-13,32.5,32.7,31.2,31.45,33.4,22.8,ADANIGREEN
2018-07-12,31.8,32.9,30.95,31.1,33.4,22.8,ADANIGREEN
2018-07-11,31.05,33.4,30.6,31.95,33.4,22.8,ADANIGREEN
2018-07-10,30.55,31.85,30.25,31.1,33.05,22.8,ADANIGREEN
2018-07-09,30.45,31.4,29.55,30.95,33.05,22.8,ADANIGREEN
2018-07-06,29.0,30.9,28.85,30.35,33.05,22.8,ADANIGREEN
2018-07-05,29.8,31.95,28.6,29.8,33.05,22.8,ADANIGREEN
2018-07-04,26.0,29.95,25.8,29.6,33.05,22.8,ADANIGREEN
2018-07-03,26.95,26.95,24.5,26.35,33.05,22.8,ADANIGREEN
2018-07-02,27.2,27.25,22.8,25.2,33.05,22.8,ADANIGREEN
